Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),
Configuration Field Inputs,50,50,3,0,0,15,V1,v,10000,I2,c,100,I3,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Frequency,ROCOF,
 ,8.26,0.971340189917,-128.748714949,0.272994959879,28.1028957385,0.272994959879,28.1028957385,49.8934479052,0.00604699726975,
 ,8.28,0.971382723826,-127.758261351,0.273180801846,29.1780882405,0.273180801846,29.1780882405,49.8926128419,0.00645068143034,
 ,8.3,0.971454988154,-126.731186869,0.273316859149,30.2516893199,0.273316859149,30.2516893199,49.8917101795,0.00694406165085,
 ,8.32,0.971556571119,-125.667623539,0.27339893491,31.3227149382,0.27339893491,31.3227149382,49.8907284074,0.00752812976582,
 ,8.34,0.971686664974,-124.568010698,0.273420775242,32.3899893031,0.273420775242,32.3899893031,49.8896567969,0.00819908126969,
 ,8.36,0.971844078302,-123.433098192,0.273374487861,33.4521680529,0.273374487861,33.4521680529,49.8884860483,0.00894803753807,
 ,8.38,0.972027394283,-122.26393441,0.27325174784,34.5077684343,0.27325174784,34.5077684343,49.8872089138,0.00976119480684,
 ,8.4,0.972234975502,-121.061866261,0.273044204729,35.5551952684,0.273044204729,35.5551952684,49.8858206676,0.0106206148546,
 ,8.42,0.97246493404,-119.828538807,0.27274382352,36.5927779349,0.27274382352,36.5927779349,49.8843194825,0.0115049839354,
 ,8.44,0.972715101333,-118.565891293,0.272343299921,37.6188172438,0.272343299921,37.6188172438,49.8827066988,0.0123904423115,
 ,8.46,0.972983010008,-117.276148958,0.271836530073,38.6316390824,0.271836530073,38.6316390824,49.8809869665,0.0132515350822,
 ,8.48,0.973265897835,-115.961810379,0.271219104984,39.6296522823,0.271219104984,39.6296522823,49.87916825,0.0140622515478,
 ,8.5,0.973560740206,-114.625630319,0.270488795601,40.6114083342,0.270488795601,40.6114083342,49.8772616964,0.0147970973591,
 ,8.52,0.973864311881,-113.270598407,0.269645988725,41.5756605437,0.269645988725,41.5756605437,49.8752813723,0.0154321421804,
 ,8.54,0.974173272932,-111.899914252,0.268694030686,42.5214202076,0.268694030686,42.5214202076,49.8732438834,0.0159459892469,
 ,8.56,0.97448426881,-110.516959799,0.267639437429,43.4480074801,0.267639437429,43.4480074801,49.871167896,0.0163206186454,
 ,8.58,0.974794031576,-109.125269748,0.266491937693,44.3550947454,0.266491937693,44.3550947454,49.8690735827,0.0165420633774,
 ,8.6,0.975099469119,-107.728500808,0.265264330107,45.2427404178,0.265264330107,45.2427404178,49.8669820211,0.0166008867236,
 ,8.62,0.975397731914,-106.33040031,0.263972153705,46.1114110363,0.263972153705,46.1114110363,49.8649145737,0.0164924414463,
 ,8.64,0.975686251918,-104.934774496,0.262633191555,46.9619893077,0.262633191555,46.9619893077,49.8628922765,0.0162169058372,
 ,8.66,0.975962754319,-103.54545661,0.261266845352,47.7957655283,0.261266845352,47.7957655283,49.8609352638,0.0157791077962,
 ,8.68,0.976225248423,-102.166274781,0.259893431492,48.614409863,0.259893431492,48.614409863,49.8590622499,0.0151881644138,
 ,8.7,0.976472007352,-100.801019732,0.258533454242,49.4199236063,0.258533454242,49.4199236063,49.8572900843,0.0144569785797,
 ,8.72,0.976701546668,-99.4534124072,0.257206908713,50.2145689871,0.257206908713,50.2145689871,49.8556333869,0.0136016433275,
 ,8.74,0.976912609412,-98.1270717875,0.255932656831,51.0007792562,0.255932656831,51.0007792562,49.8541042672,0.0126408067704,
 ,8.76,0.977104160517,-96.8254832647,0.254727906037,51.7810534028,0.254727906037,51.7810534028,49.8527121215,0.0115950446648,
 ,8.78,0.977275388495,-95.5519680452,0.253607806008,52.5578423513,0.253607806008,52.5578423513,49.8514635016,0.0104862746678,
 ,8.8,0.977425708464,-94.309654056,0.252585166142,53.3334353732,0.252585166142,53.3334353732,49.8503620463,0.00933722880327,
 ,8.82,0.977554758943,-93.1014487532,0.251670287535,54.1098562729,0.251670287535,54.1098562729,49.8494084686,0.00817098223744,
 ,8.84,0.977662385837,-91.9300141141,0.250870898474,54.8887785239,0.250870898474,54.8887785239,49.8486005941,0.00701052122931,
 ,8.86,0.977748610175,-90.7977439336,0.250192181501,55.6714669857,0.250192181501,55.6714669857,49.8479334511,0.00587832423799,
 ,8.88,0.977813580434,-89.7067434017,0.249636881628,56.4587513969,0.249636881628,56.4587513969,49.8473994159,0.00479592932923,
 ,8.9,0.977857514419,-88.6588108273,0.249205487553,57.2510338328,0.249205487553,57.2510338328,49.846988418,0.00378346794173,
 ,8.92,0.977880638684,-87.6554213298,0.248896479129,58.0483291043,0.248896479129,58.0483291043,49.8466882126,0.00285915779571,
 ,8.94,0.977883134573,-86.6977123485,0.248706633896,58.8503339827,0.248706633896,58.8503339827,49.8464847223,0.00203876319561,
 ,8.96,0.977865099043,-85.7864709256,0.248631382597,59.6565184768,0.248631382597,59.6565184768,49.8463624488,0.0013350458966,
 ,8.98,0.977826525776,-84.9221228678,0.248665198765,60.4662304468,0.248665198765,60.4662304468,49.8463049497,0.000757241238596,
