Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),
Configuration Field Inputs,50,50,2,0,0,15,V1,v,10000,I2,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Frequency,ROCOF,
 ,1.46,0.942906580306,127.054920795,1.02167500777,97.8389014232,49.8713400573,0.0187354788371,
 ,1.48,0.943222359733,127.275791818,1.02201716675,98.0597724464,49.8692963162,0.0170963891998,
 ,1.5,0.943551185271,127.488299114,1.02237346168,98.2722797422,49.8674297855,0.0156089379873,
 ,1.52,0.943891752486,127.692082428,1.02274247916,98.4760630564,49.8657258649,0.0142487152944,
 ,1.54,0.944241632433,127.886732462,1.02312158734,98.6707130905,49.864175362,0.0129790939246,
 ,1.56,0.944597112426,128.071853388,1.02350676338,98.8558340167,49.8627752863,0.0117552021584,
 ,1.58,0.94495323406,128.247126513,1.02389263467,99.0311071415,49.8615290205,0.0105285424176,
 ,1.6,0.945304028059,128.412370446,1.02427273326,99.1963510749,49.8604458572,0.00925186476295,
 ,1.62,0.945642910845,128.567592937,1.0246399256,99.3515735655,49.8595399503,0.00788388005059,
 ,1.64,0.945963181849,128.71302991,1.02498695136,99.4970105389,49.8588287755,0.00639341047563,
 ,1.66,0.946258548357,128.849168206,1.02530699217,99.6331488349,49.8583312388,0.0047626246963,
 ,1.68,0.94652360734,128.97674989,1.02559419362,99.7607305183,49.8580655997,0.00298908598022,
 ,1.7,0.946754228731,129.096757584,1.02584408064,99.8807382126,49.8580473912,0.00108644637396,
 ,1.72,0.946947806826,129.210381797,1.02605382984,99.994362425,49.8582875171,-0.000916262992795,
 ,1.74,0.947103369794,129.318972493,1.02622238821,100.102953121,49.8587906918,-0.0029766772122,
 ,1.76,0.947221556347,129.423978139,1.02635044781,100.207958768,49.8595543578,-0.00504230176569,
 ,1.78,0.947304480507,129.526876066,1.02644029928,100.310856694,49.860568177,-0.00705460862592,
 ,1.8,0.947355509769,129.629098357,1.02649559142,100.413078986,49.8618141464,-0.00895369138152,
 ,1.82,0.947378980853,129.731957655,1.02652102323,100.515938283,49.8632673373,-0.0106831076526,
 ,1.84,0.947379874129,129.836577236,1.02652199113,100.620557865,49.8648972108,-0.0121945259201,
 ,1.86,0.9473634657,129.943829617,1.02650421198,100.727810245,49.8666694144,-0.013451809238,
 ,1.88,0.947334976973,130.05428756,1.02647334336,100.838268189,49.8685479271,-0.0144342081554,
 ,1.9,0.947299245097,130.16819081,1.02643462652,100.952171438,49.8704973903,-0.0151383972761,
 ,1.92,0.947260441779,130.285430962,1.02639258165,101.06941159,49.8724854433,-0.0155791717249,
 ,1.94,0.947221869653,130.405555739,1.02635078729,101.189536367,49.8744848778,-0.0157887181078,
