Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),
Configuration Field Inputs,50,50,4,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Frequency,ROCOF,
 ,0.5,1.01650943914,101.817548595,1.91114551918,-146.225479803,1.04467838057,171.817703993,1.04467838057,171.817703993,49.8494154911,0.0131589444085,
 ,0.52,1.01637671471,102.695813741,1.90632463176,-145.615953137,1.04327187779,172.962864403,1.04327187779,172.962864403,49.8490244703,0.00647963121521,
 ,0.54,1.01625443456,103.618042155,1.9002512749,-145.037436452,1.04159801336,174.22715793,1.04159801336,174.22715793,49.8494107796,0.000127783689052,
 ,0.56,1.01614374087,104.584182764,1.89316534082,-144.486502745,1.03966001915,175.604336159,1.03966001915,175.604336159,49.850539118,-0.00592772526181,
 ,0.58,1.01604424559,105.593657093,1.88532403806,-143.96240994,1.03743274486,177.088953206,1.03743274486,177.088953206,49.8523758202,-0.0117043651164,
 ,0.6,1.01595570552,106.645354357,1.876966435,-143.466977781,1.0348805479,178.677085171,1.0348805479,178.677085171,49.8548830898,-0.0171853193256,
 ,0.62,1.01587848578,107.737651174,1.86829449648,-143.004390432,1.03196932715,-179.633328122,1.03196932715,-179.633328122,49.8580133497,-0.0223130819626,
 ,0.64,1.01581326458,108.868449712,1.8594678928,-142.580931502,1.02867389628,-177.842452248,1.02867389628,-177.842452248,49.8617049256,-0.0269942101321,
 ,0.66,1.01576047739,110.035226771,1.85060872879,-142.204664846,1.02498231395,-175.948742674,1.02498231395,-175.948742674,49.8658797995,-0.0311116843868,
 ,0.68,1.01571986004,111.23508659,1.84181252471,-141.885080554,1.02089851773,-173.94925599,1.02089851773,-173.94925599,49.8704437157,-0.0345413182305,
 ,0.7,1.01569025975,112.464811752,1.83316255373,-141.63272369,1.01644411295,-171.840023253,1.01644411295,-171.840023253,49.875288541,-0.0371690308125,
 ,0.72,1.01566972397,113.720909,1.82474546599,-141.458812811,1.01165973483,-169.616448271,1.01165973483,-169.616448271,49.8802965051,-0.0389064543207,
 ,0.74,1.01565578046,114.999649278,1.81666670534,-141.374840345,1.00660614311,-167.273716612,1.00660614311,-167.273716612,49.8853457757,-0.0397031457118,
 ,0.76,1.01564578737,116.297103393,1.8090644669,-141.392133746,1.00136510638,-164.807216242,1.00136510638,-164.807216242,49.8903167552,-0.0395544568619,
 ,0.78,1.0156372408,117.609175796,1.80212092356,-141.521351183,0.996040110914,-162.212978064,0.996040110914,-162.212978064,49.8950984945,-0.0385047715039,
 ,0.8,1.01562796089,118.931639227,1.79606933353,-141.771891901,0.990756901385,-159.488145982,0.990756901385,-159.488145982,49.89959467,-0.0366462906566,
 ,0.82,1.0156161194,120.260172308,1.79119561731,-142.151220172,0.985663771327,-156.631483247,0.985663771327,-156.631483247,49.9037286541,-0.0341138528524,
 ,0.84,1.01560011482,121.590401046,1.78783321398,-142.664130335,0.980931355314,-153.643915987,0.980931355314,-153.643915987,49.9074473065,-0.0310764590722,
 ,0.86,1.01557833749,122.917943918,1.78635056776,-143.312013136,0.976751463097,-150.529105521,0.976751463097,-150.529105521,49.9107232184,-0.0277262867471,
 ,0.88,1.01554889345,124.238459047,1.78713142932,-144.092212269,0.973334303507,-147.29402747,0.973334303507,-147.29402747,49.9135552559,-0.0242660566192,
 ,0.9,1.01550936748,125.547691211,1.79054916619,-144.997575609,0.970903354769,-143.949516808,0.970903354769,-143.949516808,49.9159673693,-0.0208956729867,
 ,0.92,1.01545670139,126.841515987,1.79693727767,-146.016300097,0.969687224755,-140.510715442,0.969687224755,-140.510715442,49.9180057564,-0.0177990888391,
 ,0.94,1.015387243,128.115978305,1.80655909416,-147.132138998,0.969908157863,-136.997337319,0.969908157863,-136.997337319,49.9197345851,-0.0151323424473,
 ,0.96,1.01529698981,129.367322848,1.81958001847,-148.324988617,0.971767383727,-133.433654213,0.971767383727,-133.433654213,49.9212305942,-0.0130136577395,
 ,0.98,1.0151820132,130.592014103,1.8360455195,-149.571809073,0.975428200024,-129.848114035,0.975428200024,-129.848114035,49.922576977,-0.0115163827652,
 ,1.0,1.01503901284,131.786744396,1.85586740425,-150.847776461,0.980998399777,-126.272540873,0.980998399777,-126.272540873,49.9238570173,-0.0106653470918,
 ,1.02,1.01486592223,132.948429072,1.87881979028,-152.127527174,0.988514202098,-122.740932344,0.988514202098,-122.740932344,49.9251479695,-0.0104369498948,
 ,1.04,1.01466247079,134.074189184,1.90454489651,-153.386348907,0.997928030128,-119.28795262,0.997928030128,-119.28795262,49.9265156518,-0.0107629642489,
 ,1.06,1.01443060871,135.161323566,1.93256753409,-154.601196445,1.00910217728,-115.947295106,1.00910217728,-115.947295106,49.9280101565,-0.011537699007,
 ,1.08,1.0141747181,136.207273836,1.96231624636,-155.751454225,1.02180962735,-112.750130581,1.02180962735,-112.750130581,49.9296629746,-0.0126278489425,
 ,1.1,1.01390156551,137.209587221,1.99314856177,-156.819417614,1.03574221647,-109.723847331,1.03574221647,-109.723847331,49.9314857069,-0.0138841350773,
 ,1.12,1.01361999025,138.165882818,2.02437780973,-157.790507934,1.0505252201,-106.891230817,1.0505252201,-106.891230817,49.9334703935,-0.0151537200493,
 ,1.14,1.01334036315,139.073826627,2.05529932453,-158.653264706,1.06573659196,-104.270140975,1.06573659196,-104.270140975,49.9355913694,-0.0162923806718,
 ,1.16,1.01307388274,139.931119424,2.08521447811,-159.399170965,1.08092864876,-101.873653977,1.08092864876,-101.873653977,49.937808437,-0.0171755105055,
 ,1.18,1.01283179597,140.735499475,2.11345167236,-160.02236694,1.09565001174,-99.7105664917,1.09565001174,-99.7105664917,49.9400710628,-0.0177071767972,
 ,1.2,1.01262463431,141.484759796,2.13938404258,-160.519298997,1.10946598275,-97.7861266142,1.10946598275,-97.7861266142,49.9423232381,-0.0178266391362,
 ,1.22,1.01246154652,142.176777526,2.16244407758,-160.888339411,1.12197608394,-96.1028554491,1.12197608394,-96.1028554491,49.9445086094,-0.017511934393,
 ,1.24,1.01234978875,142.809551523,2.18213560627,-161.129401663,1.1328280649,-94.6613468303,1.1328280649,-94.6613468303,49.9465754711,-0.0167803390797,
 ,1.26,1.01229440709,143.381243748,2.19804364201,-161.243567496,1.14172816894,-93.4609673399,1.14172816894,-93.4609673399,49.9484812323,-0.0156857366374,
 ,1.28,1.01229812128,143.890220303,2.20984245635,-161.232736272,1.14844779959,-92.5004141608,1.14844779959,-92.5004141608,49.950196012,-0.0143131404337,
 ,1.3,1.01236139432,144.335089,2.21730203814,-161.09930416,1.1528269397,-91.7781179477,1.1528269397,-91.7781179477,49.9517050926,-0.0127708416661,
 ,1.32,1.01248265361,144.714731714,2.22029285184,-160.845879513,1.15477477839,-91.2924991831,1.15477477839,-91.2924991831,49.9530100562,-0.0111808446328,
 ,1.34,1.01265861674,145.028331154,2.21878860587,-160.47504079,1.15426803339,-91.04209936,1.15426803339,-91.04209936,49.9541285391,-0.00966839597621,
 ,1.36,1.01288466844,145.275392795,2.21286662867,-159.989143628,1.15134745233,-91.0256140452,1.15134745233,-91.0256140452,49.9550926564,-0.00835148844239,
