Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),
Configuration Field Inputs,50,50,5,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Frequency,ROCOF,
 ,15.48,1.01382590879,101.557079701,2.49812945701,-161.296246579,2.45052063209,-99.3269818024,2.50286601678,101.524734568,2.50286601678,101.524734568,49.722401885,0.0387519432683,
 ,15.5,1.01382354989,103.625444799,2.49974585956,-159.293724086,2.44908940732,-97.3023175804,2.50286019327,103.593099667,2.50286019327,103.593099667,49.7175974553,0.0383903032472,
 ,15.52,1.01381133333,105.738684426,2.50143532387,-157.300495233,2.44668370396,-95.2474232001,2.50283003385,105.706339294,2.50283003385,105.706339294,49.7128897831,0.0377568651183,
 ,15.54,1.01378881002,107.895625357,2.50320293151,-155.316961086,2.44331818775,-93.1632356098,2.50277442979,107.863280225,2.50277442979,107.863280225,49.7083113872,0.0368604412922,
 ,15.56,1.01375540113,110.094780667,2.50505723296,-153.343365331,2.43901616205,-91.0508954117,2.50269195216,110.062435535,2.50269195216,110.062435535,49.7038932575,0.0357120652301,
 ,15.58,1.01371043324,112.33436312,2.50700959237,-151.379785025,2.43380947891,-88.9117316891,2.50258093842,112.302017987,2.50258093842,112.302017987,49.6996646216,0.0343247504607,
 ,15.6,1.01365317991,114.612300956,2.50907336255,-149.426123967,2.4277383459,-86.7472449727,2.5024395952,114.579955823,2.5024395952,114.579955823,49.6956527429,0.0327132430083,
 ,15.62,1.01358290825,116.926255862,2.51126291731,-147.482109295,2.42085102591,-84.5590886555,2.50226611319,116.89391073,2.50226611319,116.89391073,49.6918827494,0.0308937710832,
 ,15.64,1.01349892838,119.273642909,2.51359257485,-145.547291867,2.41320342899,-82.3490491848,2.50205878927,119.241297777,2.50205878927,119.241297777,49.6883774949,0.0288837963765,
 ,15.66,1.01340064361,121.651652228,2.51607545048,-143.621050843,2.40485859799,-80.1190253721,2.50181615037,121.619307095,2.50181615037,121.619307095,49.6851574497,0.0267017713598,
 ,15.68,1.01328759891,124.057272231,2.51872228154,-141.702602497,2.39588609482,-77.871007101,2.50153707312,124.024927098,2.50153707312,124.024927098,49.682240616,0.0243669325046,
 ,15.7,1.01315952614,126.487314672,2.52154026158,-139.791010805,2.38636133127,-75.6070527901,2.50122089559,126.454969539,2.50122089559,126.454969539,49.679642426,0.0218993262292,
 ,15.72,1.01301638292,128.938440253,2.52453195447,-137.88520496,2.37636477627,-73.3292680926,2.50086751311,128.906095121,2.50086751311,128.906095121,49.6773757412,0.0193192240818,
 ,15.74,1.01285838409,131.407185325,2.52769432242,-135.983999281,2.3659811141,-71.03978465,2.5004774561,131.374840193,2.5004774561,131.374840193,49.6754508149,0.0166472782947,
 ,15.76,1.01268600024,133.889991735,2.53101751546,-134.086105872,2.35529838164,-68.7407322478,2.50005188632,133.857646602,2.50005188632,133.857646602,49.6738750878,0.0139053654722,
 ,15.78,1.01249988327,136.383239913,2.53448297555,-132.19014246,2.34440689047,-66.4342008789,2.49959241312,136.35089478,2.49959241312,136.35089478,49.6726528966,0.0111170717869,
 ,15.8,1.01230097923,138.883271639,2.53806465695,-130.294682517,2.33339841668,-64.1222449601,2.49910137203,138.850926507,2.49910137203,138.850926507,49.6717862249,0.00830257682685,
 ,15.82,1.01209061336,141.38641283,2.54173026474,-128.398301734,2.32236535539,-61.8068870006,2.49858203477,141.354067698,2.49858203477,141.354067698,49.6712749781,0.00547980227734,
 ,15.84,1.01187047895,143.889000464,2.54544158104,-126.499606271,2.31139976918,-59.4901068646,2.49803858156,143.856655332,2.49803858156,143.856655332,49.6711168933,0.00266626252494,
 ,15.86,1.01164259043,146.387409754,2.54915477491,-124.597257376,2.30059239949,-57.1738301505,2.49747598553,146.355064622,2.49747598553,146.355064622,49.6713075582,-0.000120813676848,
 ,15.88,1.01140921753,148.878080844,2.55282087082,-122.689993518,2.29003168702,-54.8599179359,2.49689985003,148.845735712,2.49689985003,148.845735712,49.671840488,-0.00286469195127,
 ,15.9,1.01117276396,151.357547388,2.55638572808,-120.776641102,2.27980275915,-52.5501484717,2.49631610915,151.325202255,2.49631610915,151.325202255,49.6727069815,-0.00554788470206,
 ,15.92,1.01093558394,153.822468646,2.55978929541,-118.856108943,2.26998641095,-50.2461861598,2.49573057491,153.790123513,2.49573057491,153.790123513,49.6738957829,-0.00815113972648,
 ,15.94,1.01070005516,156.269650802,2.56296871286,-116.927407062,2.26065882895,-47.9495978051,2.49514911711,156.237305669,2.49514911711,156.237305669,49.6753937574,-0.0106583445849,
 ,15.96,1.01046870249,158.696063683,2.56586224754,-114.989668118,2.25189149059,-45.6618814416,2.49457796901,158.66371855,2.49457796901,158.66371855,49.6771863857,-0.013056528983,
 ,15.98,1.0102440398,161.098867029,2.56840927997,-113.04213604,2.24375039254,-43.3844467674,2.4940233367,161.066521896,2.4940233367,161.066521896,49.6792572574,-0.0153312502546,
 ,16.0,1.01002858562,163.475428903,2.57055290823,-111.084168306,2.23629585095,-41.1186284245,2.49349143773,163.44308377,2.49349143773,163.44308377,49.6815885478,-0.0174705112834,
 ,16.02,1.00982493179,165.823337582,2.57224336201,-109.115249421,2.22958239073,-38.8657144311,2.49298867069,165.790992449,2.49298867069,165.790992449,49.6841615751,-0.019465610752,
 ,16.04,1.0096356589,168.140416782,2.5734391579,-107.134990488,2.22365824516,-36.6269488974,2.49252140637,168.108071649,2.49252140637,168.108071649,49.686956779,-0.0213089181812,
 ,16.06,1.00946322663,170.424740084,2.57410774971,-105.143125563,2.21856484201,-34.4035295017,2.49209571704,170.392394951,2.49209571704,170.392394951,49.6899537309,-0.0229932744752,
 ,16.08,1.00930987494,172.67464354,2.57422605,-103.139506975,2.21433637309,-32.1966038142,2.49171713256,172.642298407,2.49171713256,172.642298407,49.693131177,-0.0245119105215,
 ,16.1,1.00917754693,174.88873639,2.57378086434,-101.124099657,2.21099947627,-30.0072645585,2.49139044998,174.856391257,2.49139044998,174.856391257,49.6964670696,-0.0258583551396,
 ,16.12,1.00906783727,177.065909795,2.57276923167,-99.0969748161,2.2085730376,-27.8365437168,2.49111960607,177.033564663,2.49111960607,177.033564663,49.6999385894,-0.0270263522498,
 ,16.14,1.00898196547,179.205343483,2.57119864042,-97.0583035372,2.20706810611,-25.6854054178,2.49090761148,179.172998351,2.49090761148,179.172998351,49.7035221709,-0.0280098619327,
 ,16.16,1.00892077011,-178.693489811,2.56908707354,-95.0083509698,2.20648790566,-23.5547375007,2.49075653643,-178.725834944,2.49075653643,-178.725834944,49.7071935466,-0.0288031541889,
 ,16.18,1.00888471848,-176.630822165,2.56646283059,-92.9474714664,2.20682792544,-21.445341588,2.49066753456,-176.663167298,2.49066753456,-176.663167298,49.7109278137,-0.0294009567886,
 ,16.2,1.00887392575,-174.606590531,2.56336408047,-90.8761047356,2.2080760731,-19.3579214861,2.4906408902,-174.638935664,2.4906408902,-174.638935664,49.7146995203,-0.0297986068218,
 ,16.22,1.00888817878,-172.620438979,2.55983811405,-88.794772687,2.21021288003,-17.2930697897,2.49067607713,-172.652784112,2.49067607713,-172.652784112,49.7184827642,-0.0299921671461,
 ,16.24,1.00892696079,-170.671723005,2.55594028754,-86.7040763444,2.2132117541,-15.2512527217,2.49077181957,-170.704068138,2.49077181957,-170.704068138,49.7222512969,-0.0299784899405,
 ,16.26,1.00898947514,-168.759515756,2.55173267331,-84.6046919994,2.21703928154,-13.2327934493,2.49092615083,-168.791860888,2.49092615083,-168.791860888,49.725978626,-0.0297552302782,
 ,16.28,1.00907466758,-166.882616046,2.54728246062,-82.4973657076,2.22165558376,-11.2378543677,2.49113646829,-166.914961179,2.49113646829,-166.914961179,49.7296381123,-0.0293208275747,
 ,16.3,1.00918124786,-165.039558038,2.54266017088,-80.3829052934,2.22701473711,-9.26641907276,2.49139958659,-165.07190317,2.49139958659,-165.07190317,49.7332030637,-0.0286744801061,
 ,16.32,1.00930771185,-163.228622477,2.53793776867,-78.2621692114,2.23306526342,-7.31827491807,2.49171179248,-163.260967609,2.49171179248,-163.260967609,49.7366468292,-0.0278161378969,
 ,16.34,1.00945236587,-161.447849409,2.53318675687,-76.1360518979,2.2397506956,-5.39299713591,2.49206890471,-161.480194542,2.49206890471,-161.480194542,49.7399428983,-0.0267465338643,
 ,16.36,1.0096133542,-159.69505231,2.52847634359,-74.0054655877,2.24701021811,-3.48993548395,2.49246634201,-159.727397443,2.49246634201,-159.727397443,49.7430650143,-0.0254672641493,
 ,16.38,1.00978869018,-157.967833564,2.52387175923,-71.8713189351,2.25477937535,-1.60820426419,2.4928991998,-158.000178696,2.4928991998,-158.000178696,49.7459873068,-0.0239809182809,
 ,16.4,1.00997629032,-156.26360122,2.519432787,-69.734493113,2.26299083551,0.253323631303,2.49336233456,-156.295946353,2.49336233456,-156.295946353,49.7486844481,-0.0222912499558,
 ,16.42,1.01017401048,-154.579586959,2.51521255196,-67.5958163265,2.27157519171,2.09601823014,2.49385045297,-154.611932091,2.49385045297,-154.611932091,49.7511318364,-0.0204033717092,
 ,16.44,1.01037968223,-152.912865136,2.51125659551,-65.4560378517,2.28046178011,3.92148937302,2.4943582017,-152.945210269,2.4943582017,-152.945210269,49.7533058038,-0.0183239528735,
 ,16.46,1.01059114781,-151.260372793,2.50760224623,-63.3158027839,2.28957949348,5.73157903789,2.49488025388,-151.292717926,2.49488025388,-151.292717926,49.7551838462,-0.0160614008126,
 ,16.48,1.01080629251,-149.618930467,2.5042782856,-61.1756286828,2.29885757058,7.52834930908,2.49541138882,-149.6512756,2.49541138882,-149.6512756,49.7567448705,-0.0136260100154,
 ,16.5,1.01102307348,-147.985263652,2.50130489877,-59.0358852506,2.30822634422,9.31406630971,2.49594656326,-148.017608785,2.49594656326,-148.017608785,49.7579694525,-0.0110300707314,
 ,16.52,1.01123954512,-146.356024757,2.49869389419,-56.8967781132,2.3176179341,11.0911804639,2.49648097404,-146.38836989,2.49648097404,-146.38836989,49.7588401007,-0.00828793591191,
 ,16.54,1.01145388127,-144.72781542,2.49644917043,-54.7583376773,2.32696687266,12.8623034702,2.4970101129,-144.760160552,2.4970101129,-144.760160552,49.7593415214,-0.00541604971126,
 ,16.56,1.01166439499,-143.097209077,2.49456740209,-52.6204139133,2.33621065444,14.6301823751,2.49752981517,-143.12955421,2.49752981517,-143.12955421,49.7594608804,-0.0024329412421,
 ,16.58,1.01186955614,-141.460773684,2.49303890873,-50.4826777142,2.34529020005,16.3976711613,2.49803630338,-141.493118816,2.49803630338,-141.493118816,49.7591880582,0.00064081613055,
 ,16.6,1.01206800712,-139.81509449,2.49184866227,-48.3446292029,2.35415022746,18.1677003163,2.49852622598,-139.847439623,2.49852622598,-139.847439623,49.7585158915,0.00378268505979,
 ,16.62,1.01225857612,-138.156796783,2.49097738058,-46.2056129921,2.36273952469,19.9432449199,2.49899669004,-138.189141916,2.49899669004,-138.189141916,49.757440397,0.00696829375112,
 ,16.64,1.01244028709,-136.482568467,2.49040265044,-44.0648399912,2.37101112049,21.7272918642,2.49944528601,-136.514913599,2.49944528601,-136.514913599,49.7559609659,0.0101716259197,
 ,16.66,1.01261236532,-134.789182325,2.49010002271,-41.9214149377,2.37892235293,23.5228068732,2.49987010132,-134.821527458,2.49987010132,-134.821527458,49.7540805235,0.0133652796246,
 ,16.68,1.01277423734,-133.073517827,2.49004402734,-39.7743684917,2.38643483915,25.3327020039,2.5002697202,-133.10586296,2.5002697202,-133.10586296,49.7518056409,0.0165207971994,
 ,16.7,1.01292548507,-131.332580874,2.49020852657,-37.6226876409,2.39351424938,27.1598108036,2.50064311053,-131.364926007,2.50064311053,-131.364926007,49.749146455,0.0196099620128,
 ,16.72,1.01306570346,-129.563518006,2.49056569421,-35.4653303932,2.400129837,29.0068823301,2.50098927238,-129.595863139,2.50098927238,-129.595863139,49.7461162558,0.0226064065663,
 ,16.74,1.01319461491,-127.763638588,2.49108840421,-33.3012717323,2.4062545977,30.876534648,2.50130752039,-127.795983721,2.50130752039,-127.795983721,49.7427318971,0.0254826099202,
 ,16.76,1.01331216759,-125.930435025,2.49175222044,-31.1295458581,2.41186537897,32.771214282,2.50159772664,-125.962780158,2.50159772664,-125.962780158,49.739013871,0.0282098452925,
 ,16.78,1.01341862861,-124.061603631,2.4925372283,-28.9492941,2.41694287147,34.6931552326,2.50186055053,-124.093948764,2.50186055053,-124.093948764,49.7349863027,0.0307596012858,
 ,16.8,1.01351445709,-122.155057519,2.49342691932,-26.7597866409,2.42147097701,36.6443729764,2.50209712553,-122.187402651,2.50209712553,-122.187402651,49.7306764082,0.0331058996319,
 ,16.82,1.01360022488,-120.20894179,2.494407797,-24.5604550248,2.42543619668,38.6266479835,2.50230886334,-120.241286922,2.50230886334,-120.241286922,49.7261143526,0.0352244759839,
 ,16.84,1.01367654535,-118.221645855,2.49546895846,-22.3509114218,2.42882717431,40.6415142347,2.50249727824,-118.253990988,2.50249727824,-118.253990988,49.7213328532,0.0370937350572,
 ,16.86,1.01374401265,-116.191814405,2.49660172508,-20.1309632433,2.43163428247,42.6902494171,2.50266383702,-116.224159538,2.50266383702,-116.224159538,49.7163667781,0.0386950802309,
 ,16.88,1.01380315322,-114.118356952,2.49779934108,-17.9006228366,2.43384926872,44.7738668106,2.50280983934,-114.150702085,2.50280983934,-114.150702085,49.7112527235,0.0400131583819,
 ,16.9,1.01385438913,-112.000455662,2.49905673349,-15.6601111424,2.43546498509,46.8931093734,2.50293632714,-112.032800795,2.50293632714,-112.032800795,49.706028567,0.0410360634756,
 ,16.92,1.01389801169,-109.837571338,2.5003703267,-13.4098551531,2.43647520888,49.0484461836,2.50304401961,-109.869916471,2.50304401961,-109.869916471,49.7007330142,0.0417554355846,
 ,16.94,1.01393416372,-107.629447497,2.50173790047,-11.1504793187,2.43687455695,51.2400713293,2.50313326936,-107.66179263,2.50313326936,-107.66179263,49.6954051533,0.0421664555298,
 ,16.96,1.0139628287,-105.376112482,2.50315847844,-8.88279121929,2.4366584916,53.4679053206,2.50320403554,-105.408457615,2.50320403554,-105.408457615,49.690084025,0.0422677627739,
 ,16.98,1.01398382551,-103.077879583,2.50463223463,-6.60776197495,2.43582341395,55.7315990589,2.50325587108,-103.110224715,2.50325587108,-103.110224715,49.6848082123,0.0420613240751,
 ,17.0,1.01399680833,-100.735345133,2.50616040695,-4.32650200397,2.4343668387,58.0305403558,2.50328792221,-100.767690266,2.50328792221,-100.767690266,49.6796154526,0.0415522712251,
 ,17.02,1.01400127129,-98.3493845997,2.50774520814,-2.04023287961,2.43228764277,60.363862934,2.50329894006,-98.3817297324,2.50329894006,-98.3817297324,49.6745422745,0.0407487169071,
 ,17.04,1.01399655832,-95.921146669,2.50938972592,0.249743847653,2.42958637839,62.7304577912,2.50328730499,-95.9534918017,2.50328730499,-95.9534918017,49.6696236613,0.0396615513772,
 ,17.06,1.01398187858,-93.4520453878,2.51109780429,2.54207990263,2.42626564002,65.1289867629,2.50325106462,-93.4843905205,2.50325106462,-93.4843905205,49.6648927439,0.0383042197651,
 ,17.08,1.01395632784,-90.9437504102,2.51287389765,4.83541459782,2.42233047201,67.5578980886,2.50318798666,-90.9760955429,2.50318798666,-90.9760955429,49.660380525,0.0366924793945,
 ,17.1,1.01391891605,-88.3981754357,2.51472288901,7.12840917442,2.41778880269,70.0154437763,2.50309562692,-88.4305205684,2.50309562692,-88.4305205684,49.656115638,0.0348441377803,
 ,17.12,1.01386860071,-85.8174649352,2.51664986291,9.41978016133,2.41265188822,72.4996985553,2.50297141174,-85.8498100679,2.50297141174,-85.8498100679,49.6521241415,0.0327787735901,
 ,17.14,1.01380432553,-83.2039792729,2.51865982408,11.7083307938,2.40693474873,75.0085802175,2.50281273345,-83.2363244056,2.50281273345,-83.2363244056,49.6484293521,0.0305174443952,
 ,17.16,1.01372506331,-80.5602781724,2.52075735112,13.9929804718,2.40065659014,77.5398714967,2.50261705616,-80.5926233051,2.50261705616,-80.5926233051,49.6450516982,0.0280824917561,
 ,17.18,1.0136298622,-77.8891022834,2.52294617453,16.2727931807,2.39384121777,80.0912439993,2.50238202999,-77.9214474161,2.50238202999,-77.9214474161,49.642008582,0.0254973794195,
 ,17.2,1.01351789248,-75.1933546475,2.52522872375,18.5469960757,2.38651730919,82.6602806291,2.50210560659,-75.2256997802,2.50210560659,-75.2256997802,49.6393143941,0.0227858884344,
 ,17.22,1.01338849165,-72.4760793878,2.52760554542,20.8150017655,2.37871871916,85.2445022904,2.5017861504,-72.5084245205,2.5017861504,-72.5084245205,49.6369803703,0.0199727382719,
 ,17.24,1.01324114041,-69.7404357679,2.53007371276,23.0764386679,2.37048457747,87.8414086389,2.50142237946,-69.7727809007,2.50142237946,-69.7727809007,49.6350142398,0.0170848560611,
 ,17.26,1.01307548039,-66.9896740921,2.53262590411,25.3311621584,2.36185929195,90.448508553,2.50101340902,-67.0220192248,2.50101340902,-67.0220192248,49.6334203763,0.0141486240015,
 ,17.28,1.01289150125,-64.2271207576,2.53525199192,27.5792244037,2.35289270172,93.0633145356,2.50055921355,-64.2594658903,2.50055921355,-64.2594658903,49.6322006021,0.0111864582067,
 ,17.3,1.01268961592,-61.4561578632,2.53793918643,29.8208613926,2.34363996352,95.6833569108,2.50006081247,-61.488502996,2.50006081247,-61.488502996,49.6313542243,0.00821928589802,
 ,17.32,1.01247067093,-58.6802002981,2.54067154164,32.056483744,2.33416121468,98.3062061365,2.49952029562,-58.7125454308,2.49952029562,-58.7125454308,49.6308780355,0.0052674239229,
