Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),
Configuration Field Inputs,50,50,9,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Frequency,ROCOF,
 ,21.16,0.964104967729,-15.145544051,0.278074655423,99.1851838755,0.230094109336,111.732566282,0.230094109336,111.732566282,0.756033727824,143.966347775,0.807903208239,-16.4534670338,1.4797155953,153.492430867,1.4797155953,153.492430867,0.369025869697,138.585920343,49.6490635973,0.0029991347059,
 ,21.18,0.963298258434,-12.87990915,0.276269575325,99.762840094,0.226246562541,115.431531387,0.226246562541,115.431531387,0.758501382301,146.120457249,0.811575206472,-14.1022310596,1.48125430085,155.657271108,1.48125430085,155.657271108,0.370228778187,140.769857883,49.6479073675,0.00713529479675,
 ,21.2,0.962528101819,-10.5614031015,0.274737526112,100.368336678,0.222023638227,118.936379308,0.222023638227,118.936379308,0.761672935474,148.361234619,0.815064572862,-11.7022671967,1.48334937207,157.886544348,1.48334937207,157.886544348,0.371736210183,143.043801869,49.6462298982,0.0112766610717,
 ,21.22,0.961804623513,-8.1849598987,0.273480912705,101.019141875,0.217451489715,122.255119093,0.217451489715,122.255119093,0.765507026898,150.693441807,0.818364536065,-9.24932867817,1.48593154674,160.185306176,1.48593154674,160.185306176,0.373529526284,145.412021186,49.6440394491,0.0153759256602,
 ,21.24,0.96113754145,-5.74592183031,0.272500758425,101.733895923,0.212588084494,125.396578005,0.212588084494,125.396578005,0.769944641695,153.121053805,0.821472171836,-6.73938898187,1.48891944953,162.55809077,1.48891944953,162.55809077,0.37558211505,147.87789405,49.6413501912,0.0193860216647,
 ,21.26,0.960536067182,-3.24005491129,0.271796812883,102.531863748,0.20751917469,128.36949976,0.20751917469,128.36949976,0.774911321165,155.647405756,0.824388781781,-4.16861667666,1.4922240722,165.008991404,1.4922240722,165.008991404,0.377860302416,150.444075958,49.6381819754,0.0232611817984,
 ,21.28,0.960008801585,-0.663561133185,0.271367000625,103.432273612,0.20235257258,131.181972477,0.20235257258,131.181972477,0.780320734447,158.275302683,0.827120206111,-1.53338230293,1.49575366587,167.541722569,1.49575366587,167.541722569,0.380324921264,153.112641417,49.6345599841,0.0269579187746,
 ,21.3,0.959563609356,1.9869121691,0.271206384557,104.453626421,0.197211400403,133.84124313,0.197211400403,133.84124313,0.786079088771,161.007074952,0.829676860602,1.16970320817,1.49941856245,170.159654342,1.49941856245,170.159654342,0.382933309474,155.885177799,49.6305142791,0.0304358956239,
 ,21.32,0.959207472292,4.71426537123,0.271305923385,105.613065133,0.192227014638,136.353931196,0.192227014638,136.353931196,0.792089755337,163.844579003,0.832073323234,3.94372564843,1.50313546135,172.865817089,1.50313546135,172.865817089,0.385641447581,158.762824915,49.6260792656,0.0336586609611,
 ,21.34,0.958946334368,7.52094121692,0.271651330691,106.925881274,0.187532221418,138.726597793,0.187532221418,138.726597793,0.798257532074,166.789156804,0.834327378355,6.7913913554,1.50683082509,175.662880837,1.50683082509,175.662880837,0.388405958386,161.746268297,49.6212930925,0.036594231101,
 ,21.36,0.958784957849,10.4089198838,0.272222295259,108.405209121,0.183255233146,140.96656415,0.183255233146,140.96656415,0.804492123923,169.841575182,0.83645853115,9.71494978668,1.51044318886,178.553117304,1.51044318886,178.553117304,0.391185759526,164.835703447,49.6161970102,0.0392155097416,
 ,21.38,0.958726808392,13.3797130459,0.27299222077,110.06192439,0.179514619963,143.082815805,0.179514619963,143.082815805,0.810710636781,173.001966257,0.838486104518,12.7161248402,1.51392435991,-178.461646841,1.51392435991,-178.461646841,0.393943259504,168.030790695,49.6108347062,0.0415005454273,
 ,21.4,0.958773980261,16.4343555885,0.273928523728,111.904731515,0.176415338118,145.086790949,0.176415338118,145.086790949,0.816839088572,176.269784435,0.840427101614,15.7960611057,1.51723962198,-175.380078599,1.51723962198,-175.380078599,0.396645087434,171.33061663,49.6052516373,0.0434326356572,
 ,21.42,0.958927164145,19.5733939974,0.274993426177,113.940398836,0.174045806504,146.992847994,0.174045806504,146.992847994,0.822813091773,179.643786916,0.842294049901,18.9552870975,1.52036714301,-172.201385052,1.52036714301,-172.201385052,0.399262422304,174.733671085,49.5994943753,0.0450002936514,
 ,21.44,0.959185652788,22.7968710224,0.276145117166,116.174088108,0.172475959764,148.818250383,0.172475959764,148.818250383,0.828577935902,-176.877963343,0.844093037898,22.1936942157,1.52329681187,-168.925356121,1.52329681187,-168.925356121,0.401771027454,178.237841349,49.5936099782,0.0461970992649,
 ,21.46,0.959547375646,26.1043068683,0.277339139804,118.609723768,0.171756211393,150.582597027,0.171756211393,150.582597027,0.834088301459,-173.298078511,0.845822123486,25.5105282972,1.52602871171,-165.55240392,1.52602871171,-165.55240392,0.404151101306,-178.15958007,49.587645398,0.047021459393,
 ,21.48,0.960008920636,29.4946778997,0.278529895267,121.250357342,0.17191717943,152.306763278,0.17191717943,152.306763278,0.839307738364,-169.619817317,0.847470211955,28.9043915643,1.52857138623,-162.083602985,1.52857138623,-162.083602985,0.406387009918,-174.461878917,49.581646903,0.0474764819276,
 ,21.5,0.960565450354,32.9663952941,0.279672218691,124.098498889,0.172969882193,154.011557537,0.172969882193,154.011557537,0.844207902147,-165.847049849,0.849016399424,32.3732565482,1.53093995578,-158.5207394,1.53093995578,-158.5207394,0.408466899792,-170.672895851,49.5756594828,0.0475699308171,
 ,21.52,0.9612105662,36.5172824187,0.28072165276,127.156309795,0.174902869834,155.716351824,0.174902869834,155.716351824,0.848770063586,-161.984416223,0.850429861406,35.9144681338,1.53315526798,-154.866414217,1.53315526798,-154.866414217,0.410383494867,-166.797172881,49.569726432,0.0473134442494,
 ,21.54,0.961935071816,40.1445249427,0.28163324184,130.425784612,0.177671400747,157.437662579,0.177671400747,157.437662579,0.852986796,-158.037778172,0.851668807845,39.5247361089,1.53524531417,-151.124332205,1.53524531417,-151.124332205,0.412135140166,-162.840374901,49.5638881331,0.0467266382725,
 ,21.56,0.962727526071,43.844633891,0.282367658287,133.909350909,0.181214669682,159.187145864,0.181214669682,159.187145864,0.856851697654,-154.013615343,0.852681648606,43.20017549,1.53724025698,-147.29908771,1.53724025698,-147.29908771,0.413720614711,-158.808783239,49.5581817954,0.0458319854198,
 ,21.58,0.963576426381,47.6135288319,0.282894384561,137.60988361,0.185471448186,160.972448833,0.185471448186,160.972448833,0.860360117388,-149.918656485,0.853411654572,46.9363829921,1.53916498514,-143.395882783,1.53916498514,-143.395882783,0.415139311787,-154.708944817,49.5526429896,0.0446458585919,
 ,21.6,0.964470847031,51.4465642639,0.283192377067,141.530596506,0.190382199596,162.7981637,0.190382199596,162.7981637,0.863510994039,-145.759936085,0.853799978408,50.7284554755,1.54103744676,-139.420511645,1.54103744676,-139.420511645,0.416392157495,-150.547716023,49.5473050799,0.0431857867638,
