Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),
Configuration Field Inputs,50,50,2,0,0,15,V1,v,10000,I2,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Frequency,ROCOF,
 ,1.7,0.824119101375,120.495002359,0.0281436673119,-149.504997641,49.9209040818,0.0156631069974,
 ,1.72,0.824194256913,120.633621584,0.0281462338736,-149.366378416,49.9200848485,0.0095063236849,
 ,1.74,0.82424334585,120.766452763,0.0281479102608,-149.233547237,49.9202320304,0.00233661586025,
 ,1.76,0.824269100164,120.894274242,0.0281487897706,-149.105725758,49.921436972,-0.00565303340864,
 ,1.78,0.824275312189,121.017914285,0.0281490019113,-148.982085715,49.9237596203,-0.0142321645449,
 ,1.8,0.824266545672,121.138197041,0.0281487025347,-148.861802959,49.9272253406,-0.0231409588691,
 ,1.82,0.824247803125,121.255890674,0.0281480624767,-148.744109326,49.9318228311,-0.0320987678065,
 ,1.84,0.824224174326,121.371661057,0.0281472555532,-148.628338943,49.9375031655,-0.040812936542,
 ,1.86,0.824200487757,121.486033953,0.0281464466569,-148.513966047,49.9441800046,-0.0489879492759,
 ,1.88,0.824180985495,121.599367931,0.0281457806546,-148.400632069,49.9517310316,-0.05633497813,
 ,1.9,0.824169042704,121.711839553,0.0281453728083,-148.288160447,49.9600006705,-0.0625818656452,
 ,1.92,0.824166954021,121.823441521,0.0281453014798,-148.176558479,49.9688041198,-0.067483423614,
 ,1.94,0.824175808486,121.933993506,0.0281456038598,-148.066006494,49.9779326846,-0.0708317279324,
 ,1.96,0.824195470302,122.043164426,0.0281462753108,-147.956835574,49.9871603094,-0.0724658859297,
 ,1.98,0.82422467344,122.150504007,0.028147272598,-147.849495993,49.9962511196,-0.0722806050535,
 ,2.0,0.824261224649,122.25548074,0.0281485208218,-147.74451926,50.0049676853,-0.0702328398661,
 ,2.02,0.824302293848,122.357522967,0.0281499233349,-147.642477033,50.0130796389,-0.0663458528086,
 ,2.04,0.824344756488,122.456059806,0.0281513734341,-147.543940194,50.0203722245,-0.0607101820484,
 ,2.06,0.824385542806,122.550559007,0.0281527662868,-147.449440993,50.0266543348,-0.053481238007,
 ,2.08,0.824421946692,122.640559586,0.0281540094795,-147.359440414,50.0317656065,-0.0448735131437,
 ,2.1,0.824451853448,122.725697943,0.0281550307952,-147.274302057,50.0355821925,-0.0351516548859,
 ,2.12,0.824473860237,122.805727093,0.0281557823271,-147.194272907,50.0380209083,-0.0246188945533,
 ,2.14,0.824487282837,122.880529442,0.0281562407089,-147.119470558,50.0390415482,-0.0136035284068,
 ,2.16,0.824492063485,122.950124022,0.028156403968,-147.049875978,50.0386472858,-0.00244429685377,
 ,2.18,0.824488612704,123.014669361,0.0281562861238,-146.985330639,50.0368831951,0.00852440837389,
 ,2.2,0.824477629341,123.074463105,0.028155911042,-146.925536895,50.033833047,0.0189865733315,
 ,2.22,0.8244599452,123.129939224,0.0281553071286,-146.870060776,50.0296146394,0.0286569706502,
 ,2.24,0.824436433083,123.181663265,0.0281545041898,-146.818336735,50.0243739992,0.0372912533961,
 ,2.26,0.824408001186,123.230325637,0.0281535332405,-146.769674363,50.0182788354,0.0446932689181,
 ,2.28,0.824375675636,123.276732632,0.028152429323,-146.723267368,50.0115116343,0.0507193962413,
 ,2.3,0.824340750679,123.321794669,0.0281512366357,-146.678205331,50.004262758,0.0552799805885,
 ,2.32,0.824304967181,123.366511397,0.0281500146292,-146.633488603,49.9967238578,0.0583381713235,
 ,2.34,0.824270668689,123.411953646,0.0281488433357,-146.588046354,49.9890818382,0.0599066332674,
 ,2.36,0.824240883141,123.459242826,0.0281478261593,-146.540757174,49.981513539,0.0600426793551,
 ,2.38,0.824219288143,123.509529071,0.0281470886901,-146.490470929,49.9741812291,0.0588423657915,
 ,2.4,0.824210037172,123.563970103,0.0281467727694,-146.436029897,49.967228955,0.0564340172565,
 ,2.42,0.824217449638,123.623713141,0.0281470259051,-146.376286859,49.9607797453,0.0529715377487,
 ,2.44,0.82424559453,123.689882228,0.0281479870532,-146.310117772,49.9549336544,0.0486277443032,
 ,2.46,0.824297820191,123.76357291,0.0281497705595,-146.23642709,49.9497666137,0.043587862972,
 ,2.48,0.824376296995,123.845855337,0.0281524505424,-146.154144663,49.9453300561,0.0380432656398,
 ,2.5,0.824481642439,123.937785757,0.0281560480893,-146.062214243,49.9416512707,0.0321855061983,
 ,2.52,0.824612688719,124.040425116,0.0281605233198,-145.959574884,49.9387344391,0.0262007278409,
 ,2.54,0.824766432846,124.154862416,0.0281657736817,-145.845137584,49.9365622851,0.0202645445661,
 ,2.56,0.82493818217,124.282239657,0.0281716389211,-145.717760343,49.9350982558,0.0145375321808,
 ,2.58,0.825121878635,124.423774857,0.0281779121554,-145.576225143,49.9342891254,0.00916148166016,
 ,2.6,0.825310558232,124.580779787,0.0281843555636,-145.419220213,49.9340679017,0.00425656093836,
 ,2.62,0.825496882496,124.754669659,0.0281907185372,-145.245330341,49.9343568968,-8.05034276456e-05,
 ,2.64,0.825673669985,124.946963,0.02819675583,-145.053037,49.9350708248,-0.00377717259952,
 ,2.66,0.825834358784,125.15927112,0.0282022433525,-144.84072888,49.9361197952,-0.00678479356102,
 ,2.68,0.825973345702,125.393277777,0.0282069897557,-144.606722223,49.9374120885,-0.00907735362346,
 ,2.7,0.826086170996,125.650710675,0.0282108427395,-144.349289325,49.9388566293,-0.0106494692404,
 ,2.72,0.826169544928,125.933307107,0.0282136899593,-144.066692893,49.9403651029,-0.0115138407828,
 ,2.74,0.826221238888,126.242776357,0.028215455308,-143.757223643,49.9418536975,-0.011698430376,
 ,2.76,0.826239884443,126.580761345,0.0282160920537,-143.419238655,49.9432444843,-0.0112436127936,
 ,2.78,0.826224734836,126.948801531,0.0282155746947,-143.051198469,49.9444664717,-0.0101995112377,
 ,2.8,0.826175443605,127.34829842,0.0282138913991,-142.65170158,49.9454563879,-0.00862366761634,
 ,2.82,0.826091904942,127.780484287,0.0282110385538,-142.219515713,49.9461592459,-0.00657912220572,
 ,2.84,0.825974182744,128.246394101,0.0282070183407,-141.753605899,49.9465287464,-0.00413290383698,
 ,2.86,0.825822534256,128.746840243,0.0282018395448,-141.253159757,49.9465275576,-0.00135487179607,
 ,2.88,0.825637513971,129.282389441,0.0281955211021,-140.717610559,49.9461274978,0.00168318656336,
 ,2.9,0.82542012803,129.853341513,0.0281880973722,-140.146658487,49.9453096357,0.00490830947291,
 ,2.92,0.82517200108,130.459709842,0.0281796238369,-139.540290158,49.9440643051,0.00824706038452,
 ,2.94,0.824895517272,131.101203978,0.0281701819148,-138.898796022,49.9423910311,0.0116262404747,
 ,2.96,0.824593903925,131.77721519,0.028159881819,-138.22278481,49.9402983576,0.0149736478885,
 ,2.98,0.824271238097,132.48680617,0.028148862781,-137.51319383,49.9378035695,0.0182188888158,
 ,3.0,0.823932370155,133.228706182,0.0281372904408,-136.771293818,49.9349323058,0.0212942272089,
